16:40:26: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 59] Command instance created
16:40:26: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 60] Command object started
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 4.0)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 1.0)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 0.6666666666666666)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 0.5)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 0.4)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 0.3333333333333333)
16:40:26: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 105] Avg Velocity:  (0.0, 0.0, 0.2857142857142857)
16:40:26: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 71] Command worker stopped
