22:23:35: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 60] Command instance created
22:23:35: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 60] Command object started
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 4.0)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 1.0)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 0.6666666666666666)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 0.5)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 0.4)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 0.3333333333333333)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 0.0, 0.2857142857142857)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 2.5, 0.25)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 4.444444444444445, 0.2222222222222222)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (0.0, 6.0, 0.2)
22:23:35: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 108] Avg Velocity:  (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
